wavelength_Q32,abs_Q32,wavelength_Q33,abs_Q33,wavelength_Q34,abs_Q34
570,6548.9,572,5253.1,570,5181.6
571,6698.5,573,5268.8,571,5768.6
572,6833.1,574,5284.4,572,6416.8
573,7008.3,575,5307.9,573,7053.5
574,7226.2,576,5288.4,574,7736.1
575,7497.6,577,5280.5,575,8384.3
576,7764.7,578,5292.3,576,8986.6
577,8027.5,579,5351,577,9583.2
578,8337.3,580,5358.9,578,10103
579,8674.9,581,5386.3,579,10597
580,9001.8,582,5449,580,11004
581,9324.5,583,5488.1,581,11419
582,9649.2,584,5546.9,582,11767
583,9997.5,585,5668.3,583,12098
584,10318,586,5781.9,584,12402
585,10639,587,5907.3,585,12620
586,10961,588,6052.2,586,12847
587,11267,589,6255.9,587,12981
588,11632,590,6373.5,588,13011
589,11910,591,6698.6,589,12971
590,12241,592,7047.2,590,12807
591,12506,593,7446.8,591,12545
592,12805,594,7826.8,592,12241
593,13029,595,8253.8,593,11897
594,13250,596,8731.7,594,11530
595,13380,597,9287.9,595,11155
596,13440,598,9844.2,596,10790
597,13459,599,10534,597,10400
598,13453,600,11243,598,10006
599,13350,601,12085,599,9627.2
600,13239,602,12853,600,9262
601,13068,603,13754,601,8931.2
602,12869,604,14635,602,8638.6
603,12602,605,15567,603,8434
604,12367,606,16492,604,8284.9
605,12100,607,17436,605,8221.8
606,11799,608,18392,606,8279.2
607,11553,609,19289,607,8401.5
608,11307,610,20225,608,8631
609,11030,611,21157,609,8982.8
610,10769,612,21996,610,9437.9
611,10566,613,22881,611,10004
612,10339,614,23762,612,10727
613,10168,615,24491,613,11600
614,9997.5,616,25239,614,12635
615,9884.3,617,25913,615,13897
616,9800.9,618,26504,616,15419
617,9792.4,619,27116,617,17287
618,9858.6,620,27586,618,19478
619,9984.7,621,27942,619,22071
620,10243,622,28138,620,25084
621,10585,623,28279,621,28535
622,11051,624,28267,622,32511
623,11681,625,28056,623,36901
624,12414,626,27723,624,41847
625,13339,627,27241,625,47208
626,14348,628,26630,626,52918
627,15450,629,25768,627,58801
628,16572,630,24961,628,64530
629,17794,631,24033,629,69809
630,18959,632,23065,630,74474
631,20010,633,22074,631,78363
632,20924,634,21138,632,81493
633,21730,635,20225,633,83845
634,22341,636,19351,634,85570
635,22788,637,18592,635,86677
636,23110,638,17922,636,87151
637,23279,639,17385,637,86939
638,23328,640,16884,638,85839
639,23352,641,16531,639,83753
640,23294,642,16359,640,80602
641,23172,643,16269,641,76365
642,22976,644,16265,642,71302
643,22818,645,16472,643,65507
644,22593,646,16833,644,59310
645,22403,647,17291,645,52983
646,22187,648,17933,646,46686
647,21974,649,18787,647,40715
648,21760,650,19841,648,35124
649,21593,651,21024,649,30046
650,21469,652,22364,650,25512
651,21301,653,23966,651,21564
652,21183,654,25654,652,18069
653,21038,655,27550,653,15132
654,20830,656,29533,654,12570
655,20653,657,31609,655,10449
656,20412,658,33716,656,8675
657,20076,659,35851,657,7177.8
658,19683,660,37927,658,5936.9
659,19194,661,39976,659,4940.7
660,18662,662,41794,660,4120.5
661,18055,663,43459,661,3457
662,17375,664,44955,662,2887.2
663,16698,665,46064,663,2455.1
664,15959,666,46933,664,2084.1
665,15211,667,47305,665,1793.5
666,14461,668,47427,666,1575.5
667,13705,669,47043,667,1344.2
668,12950,670,46310,668,1156.8
669,12198,671,45061,669,1045.9
670,11500,672,43478,670,915.87
671,10803,673,41551,671,824.09
672,10100,674,39353,672,736.14
673,9463.3,675,36897,673,659.66
674,8820.2,676,34323,674,602.29
675,8213.4,677,31648,675,552.58
676,7638.6,678,28976,676,504.78
677,7125.8,679,26309,677,483.75
678,6632.2,680,23711,678,437.86
679,6160,681,21287,679,414.91
680,5737,682,18960,680,395.79
681,5309.6,683,16778,681,363.29
682,4959.2,684,14839,682,355.64
683,4611,685,13005,683,326.96
684,4311.8,686,11442,684,296.37
685,4010.5,687,10020,685,288.72
686,3749.9,688,8731.7,686,279.16
687,3523.4,689,7572.1,687,261.95
688,3378.1,690,6628.1,688,271.51
689,3211.4,691,5844.6,689,237.09
690,3091.8,692,5143.4,690,239.01
691,2984.9,693,4520.6,691,229.45
692,2916.6,694,3991.7,692,217.97
693,2869.6,695,3603.9,693,223.71
694,2861,696,3196.5,694,231.36
695,2854.6,697,2926.2,695,212.24
696,2882.4,698,2687.3,696,170.17
697,2935.8,699,2440.5,697,191.01
698,3010.6,700,2228.9,698,202.68
699,3130.2,701,2103.6,699,172.08
700,3252,702,1927.3,700,183.56
701,3373.8,703,1880.3,701,160.61
