product_name,product_smiles,alkyne,nitrile,regioisomer
py_61,CC(N)c1cc(-c2ccccc2)nc(C(C)N)c1,3-Butyn-2-amine,Benzonitrile,conf_1
py_62,CC(N)c1ccc(C(C)N)c(-c2ccccc2)n1,3-Butyn-2-amine,Benzonitrile,conf_2
py_63,CC(N)c1cnc(-c2ccccc2)cc1C(C)N,3-Butyn-2-amine,Benzonitrile,conf_3
py_64,CC(N)c1cnc(-c2ccccc2)c(C(C)N)c1,3-Butyn-2-amine,Benzonitrile,conf_4
py_65,CC(C)c1cc(C(C)N)cc(C(C)N)n1,3-Butyn-2-amine,Isobutyronitrile,conf_1
py_66,CC(C)c1nc(C(C)N)ccc1C(C)N,3-Butyn-2-amine,Isobutyronitrile,conf_2
py_67,CC(C)c1cc(C(C)N)c(C(C)N)cn1,3-Butyn-2-amine,Isobutyronitrile,conf_3
py_68,CC(C)c1ncc(C(C)N)cc1C(C)N,3-Butyn-2-amine,Isobutyronitrile,conf_4
py_69,CC(N)c1cc(C(C)N)nc(C2[C]C2)c1,3-Butyn-2-amine,2-Cyanocyclopropylidene,conf_1
py_70,CC(N)c1ccc(C(C)N)c(C2[C]C2)n1,3-Butyn-2-amine,2-Cyanocyclopropylidene,conf_2
py_71,CC(N)c1cnc(C2[C]C2)cc1C(C)N,3-Butyn-2-amine,2-Cyanocyclopropylidene,conf_3
py_72,CC(N)c1cnc(C2[C]C2)c(C(C)N)c1,3-Butyn-2-amine,2-Cyanocyclopropylidene,conf_4
py_73,CC#CCc1cc(CC#CC)nc(Cc2ccccc2)c1,"1,4-Hexadiyne",Phenylacetonitrile,conf_1
py_74,CC#CCc1ccc(CC#CC)c(Cc2ccccc2)n1,"1,4-Hexadiyne",Phenylacetonitrile,conf_2
py_75,CC#CCc1cnc(Cc2ccccc2)cc1CC#CC,"1,4-Hexadiyne",Phenylacetonitrile,conf_3
py_76,CC#CCc1cnc(Cc2ccccc2)c(CC#CC)c1,"1,4-Hexadiyne",Phenylacetonitrile,conf_4
py_77,CC#CCc1cc(C)nc(CC#CC)c1,"1,4-Hexadiyne",Acetonitrile,conf_1
py_78,CC#CCc1ccc(CC#CC)c(C)n1,"1,4-Hexadiyne",Acetonitrile,conf_2
py_79,CC#CCc1cnc(C)cc1CC#CC,"1,4-Hexadiyne",Acetonitrile,conf_3
py_80,CC#CCc1cnc(C)c(CC#CC)c1,"1,4-Hexadiyne",Acetonitrile,conf_4
py_81,C=Cc1cc(CC#CC)cc(CC#CC)n1,"1,4-Hexadiyne",Acrylonitrile,conf_1
py_82,C=Cc1nc(CC#CC)ccc1CC#CC,"1,4-Hexadiyne",Acrylonitrile,conf_2
py_83,C=Cc1cc(CC#CC)c(CC#CC)cn1,"1,4-Hexadiyne",Acrylonitrile,conf_3
py_84,C=Cc1ncc(CC#CC)cc1CC#CC,"1,4-Hexadiyne",Acrylonitrile,conf_4
py_85,CC#CCc1cc(CC#CC)nc(-c2ccccc2)c1,"1,4-Hexadiyne",Benzonitrile,conf_1
py_86,CC#CCc1ccc(CC#CC)c(-c2ccccc2)n1,"1,4-Hexadiyne",Benzonitrile,conf_2
py_87,CC#CCc1cnc(-c2ccccc2)cc1CC#CC,"1,4-Hexadiyne",Benzonitrile,conf_3
py_88,CC#CCc1cnc(-c2ccccc2)c(CC#CC)c1,"1,4-Hexadiyne",Benzonitrile,conf_4
py_89,CC#CCc1cc(CC#CC)nc(C(C)C)c1,"1,4-Hexadiyne",Isobutyronitrile,conf_1
py_90,CC#CCc1ccc(CC#CC)c(C(C)C)n1,"1,4-Hexadiyne",Isobutyronitrile,conf_2
py_91,CC#CCc1cnc(C(C)C)cc1CC#CC,"1,4-Hexadiyne",Isobutyronitrile,conf_3
py_92,CC#CCc1cnc(C(C)C)c(CC#CC)c1,"1,4-Hexadiyne",Isobutyronitrile,conf_4
py_93,CC#CCc1cc(CC#CC)nc(C2[C]C2)c1,"1,4-Hexadiyne",2-Cyanocyclopropylidene,conf_1
