Name,target_CO2_capacity(mmol/g),MW_or_Mn_(g/mol),Organic_Content_on_Adsorbent_Basis_(%),N_Content_on_Adsorbent_Basis_(mmol/g),Amine_2_or_Additive_2_to_Amine_1_Ratio,Additive_3_to_Amine_1_Ratio,OH_to_N_ratio,BET_Surface_Area_of_Solid_Support_(m2g_1),Pore_Volume_of_Solid_Support_(cm3g_1),Average_Pore_Diameters_(nm),Relative_Humidity_(%),CO2_Concentration_(vol%),Flow_Rate_(mL/min),Adsorption_Time_(min),Adsorption_Temperature_(),Amine_Efficiency_(mmol/mmol),Time_to_Half_Saturation_(min),Time_to_90%_Saturation_(min),Desorption_Temperature_(),Weight_Loss_Stability_(%),Capacity_Loss_Stability_(%),Cycle_Number,Heat_of_Adsorption_(kJ/mmol)
SBA-15BPEI1.42_1.14_1,0.974778459,537,28.48,6.36424581,0,0,0,270,1.39,20.4,0,0.04,100,120,35,0.153164804,0,0,0,0,0,0,0
SBA-15BPEI1.42_1.14_1,1.247443763,537,37.76,8.437988827,0,0,0,270,1.39,20.4,0,0.04,100,120,25,0.147836622,52.6,0,100,0.26,0.806451613,50,0
SBA-15BPEI1.42_1.14_1,1.361054306,537,37.76,8.437988827,0,0,0,270,1.39,20.4,0,0.04,100,120,30,0.161300795,0,0,0,0,0,0,0
SBA-15BPEI1.42_1.14_1,1.404226312,537,37.76,8.437988827,0,0,0,270,1.39,20.4,0,0.04,100,120,35,0.166417181,0,0,0,0,0,0,0
SBA-15BPEI1.42_1.14_1,1.390593047,537,49.2,10.99441341,0,0,0,270,1.39,20.4,0,0.04,100,120,25,0.126481786,76.89,0,0,0,0,0,0
SBA-15BPEI1.42_1.14_1,1.561008862,537,49.2,10.99441341,0,0,0,270,1.39,20.4,0,0.04,100,120,30,0.141982005,0,0,0,0,0,0,0
SBA-15BPEI1.42_1.14_1,1.670074983,537,49.2,10.99441341,0,0,0,270,1.39,20.4,0,0.04,100,120,35,0.151902145,0,0,0,0,0,0,0
SBA-15BPEI1.35_1.21_1,0.506703022,1020,20.36,4.571019608,0,0,0,270,1.39,20.4,0,0.04,100,120,25,0.110851203,23.29,69.26,0,0,0,0,0
SBA-15BPEI1.35_1.21_1,0.050443081,1020,20.36,4.571019608,0,0,0,270,1.39,20.4,0,0.04,100,120,30,0.011035411,0,0,0,0,0,0,0
SBA-15BPEI1.35_1.21_1,0.477164281,1020,20.36,4.571019608,0,0,0,270,1.39,20.4,0,0.04,100,120,35,0.104389025,0,0,0,0,0,0,0
SBA-15BPEI1.35_1.21_1,0.942967507,1020,29.06,6.524254902,0,0,0,270,1.39,20.4,0,0.04,100,120,25,0.144532597,62.87,111.28,0,0,0,0,0
SBA-15BPEI1.35_1.21_1,0.965689616,1020,29.06,6.524254902,0,0,0,270,1.39,20.4,0,0.04,100,120,30,0.148015311,0,0,0,0,0,0,0
SBA-15BPEI1.35_1.21_1,0.095660077,1020,29.06,6.524254902,0,0,0,270,1.39,20.4,0,0.04,100,120,35,0.014662223,0,0,0,0,0,0,0
SBA-15BPEI1.35_1.21_1,1.26562145,1020,38.43,8.627911765,0,0,0,270,1.39,20.4,0,0.04,100,120,25,0.146689197,50.6,0,100,0.51,-0.321543408,50,0
SBA-15BPEI1.35_1.21_1,1.404226312,1020,38.43,8.627911765,0,0,0,270,1.39,20.4,0,0.04,100,120,30,0.162753903,0,0,0,0,0,0,0
SBA-15BPEI1.35_1.21_1,1.413315156,1020,38.43,8.627911765,0,0,0,270,1.39,20.4,0,0.04,100,120,35,0.163807326,0,0,0,0,0,0,0
SBA-15BPEI1.35_1.21_1,1.386048625,1020,47.13,10.58114706,0,0,0,270,1.39,20.4,0,0.04,100,120,25,0.130992284,91.9,0,0,0,0,0,0
SBA-15BPEI1.35_1.21_1,1.520109066,1020,47.13,10.58114706,0,0,0,270,1.39,20.4,0,0.04,100,120,30,0.14366203,0,0,0,0,0,0,0
SBA-15BPEI1.35_1.21_1,1.610997501,1020,47.13,10.58114706,0,0,0,270,1.39,20.4,0,0.04,100,120,35,0.152251688,0,0,0,0,0,0,0
MFTEPA1_1.5_0,2.07,189.3,33,8.716323296,0,0,0,1300,5.19,24.6,0,0.042,200,300,30,0.237485455,0,0,110,0,7.28,10,0
